monster_id,name_en,family,rank,size,name_jp
49,Wild slime,Slime,E,S,スライムファング
50,Nardragon,Dragon,E,S,いっかく竜
51,Bullfinch,Nature,E,S,あばれうしどり
52,Pan piper,Beast,E,S,コサックシープ
53,Dancing flame,Material,E,S,フレイム
54,Headhunter,Demon,E,S,くびかりぞく
55,Demonrider,Undead,E,S,エビルドライブ
56,Shell slime,Slime,E,S,スライムつむり
57,Snapdragon,Dragon,E,S,ドラゴンブッシュ
58,Wild boarfish,Nature,E,S,ポグフィッシュ
59,Snowbird,Beast,E,S,ホークブリザード
60,Dingaling,Material,E,S,リンリン
61,Lump wizard,Demon,E,S,ドルイド
62,Drohl diabolist,Undead,E,S,ドロルメイジ
63,Mottle slime,Slime,E,S,ぶちスライム
64,Jailcat,Nature,E,S,プリズニャン
65,Spiked hare,Nature,E,S,アルミラージ
66,Chainine,Beast,E,S,ワンダーフール
67,Goodybag,Material,E,S,おどるほうせき
68,Imp,Demon,E,S,ベビーサタン
69,Skipper,Undead,E,S,スキッパー
70,Snail slime,Slime,D,S,スライムカルゴ
71,Green dragon,Dragon,D,S,ドラゴン
72,Teeny sanguini,Beast,D,S,モーモン
73,Cannibox,Material,D,S,ひとくいばこ
74,Dancing devil,Demon,D,S,びっくりサタン
75,Hellhound,Undead,D,S,ダースウルフェン
76,Snowmangler,Slime,D,S,スノーム
77,Skelegon,Dragon,D,S,スカルゴン
78,Boring bug,Nature,D,S,せみもぐら
79,Night emperor,Beast,D,S,夜の帝王
80,Shadow,Material,D,S,シャドー
81,Dessert demon,Demon,D,S,デザートデーモン
82,Flyguy,Undead,D,S,ハエ男
83,Slime knight,Slime,D,S,スライムナイト
84,Dragurn,Dragon,D,S,ドラゴンバゲージ
85,Crabid,Nature,D,S,ぐんたいガニ
86,Fencing fox,Beast,D,S,サーベルきつね
87,Anchorman,Material,D,S,さつじんイカリ
88,Lesser demon,Demon,D,S,レッサーデーモン
89,Hyper Heyedra,Undead,D,S,パラサキス
90,Metal slime,Slime,D,S,メタルスライム
91,Rubble slime,Slime,D,S,ストーンスライム
92,Gasbagon,Dragon,D,S,フーセンドラゴン
93,Scorpion,Nature,D,S,おおさそり
94,Orc,Beast,D,S,オーク
95,Gold golem,Material,D,S,ゴールドマン
96,Cross eye,Demon,D,S,ビックアイ
97,Skeleton,Undead,D,S,がいこつ
98,Angel slime,Slime,D,S,エンゼルスライム
99,Seasaur,Dragon,D,S,ギャオース
100,Eveel,Nature,D,S,おおうつぼ
101,Weartiger,Beast,D,S,とらおとこ
102,Mecha-mynah,Material,D,S,メタッピー
103,Silvapithecus,Demon,D,S,シルバーデビル
104,Phantom fencer,Undead,D,S,ぼうれい剣士
105,Behemoth slime,Slime,D,S,もりもりスライム
106,Red dragon,Dragon,D,S,ダースドラゴン
107,Khalamari kid,Nature,D,S,プチアーノン
108,Brownie,Beast,D,S,ブラウニー
109,Firn fiend,Material,D,S,ひょうがまじん
110,Wrecktor,Demon,D,S,あくましんかん
111,Metal slime knight,Slime,D,S,メタルライダー
112,Beshemoth slime,Slime,D,S,もりもりべス
113,Wormonger,Nature,D,S,タイラントワーム
114,Slime X,Slime,C,S,強スライム
115,Chimaera X,Nature,C,S,強キメラ
116,Goodybag X,Material,C,S,強おどるほうせき
117,Conklave X,Demon,C,S,強プチット族
118,Hacksaurus,Dragon,C,S,バトルレックス
119,Hades condor,Nature,C,S,ヘルコンドル
120,Bodkin archer,Beast,C,S,リリパット
121,Puppeteer,Material,C,S,パペットこぞう
122,Dangler fish,Demon,C,S,エビルアングラー
123,Bona constrictor,Undead,C,S,スカルサーペント
124,Dragon slime,Slime,C,S,スライムブレス
125,Aquestrian gladiator,Dragon,C,S,たつのこナイト
126,Great sabrecat,Nature,C,S,キラーパンサー
127,Gargoyle,Beast,C,S,ガーゴイル
128,King kelp,Material,C,S,わかめ王子
129,Great dracky,Demon,C,S,おおドラキー
130,Walking corpse,Undead,C,S,くさった死体
131,Slime stack,Slime,C,S,スライムタワー
132,Sea dragon,Dragon,C,S,海竜
133,Treeface,Nature,C,S,じんめんじゅ
134,Merman,Beast,C,S,マーマン
135,Malevolamp,Material,C,S,エビルポット
136,Octavian sentry,Demon,C,S,オクトセントリー
137,Restless armour,Undead,C,S,さまようよろい
138,King slime,Slime,C,S,キングスライム
139,Noble gasbagon,Dragon,C,S,バルンバ
140,Paws,Nature,C,S,グランドシャーク
141,Jumping jackal,Beast,C,S,かくとうパンサー
142,Hunter mech,Material,C,S,メタルハンター
143,Robbin' Huddle,Demon,C,S,カンダタこぶん
144,Heyedra,Undead,C,S,あくまのめだま
145,Cureslime,Slime,C,S,ベホマスライム
146,Metal dragon,Dragon,C,S,メタルドラゴン
147,Barracuda,Nature,C,S,とつげきうお
148,Diemon,Beast,C,S,サイコロン
149,Golem,Material,C,S,ゴーレム
150,Erazor blade,Demon,C,S,ひとくいサーベル
151,Cyber slime,Slime,C,S,スライムボーグ
152,Liquid metal slime,Slime,C,S,はぐれメタル
153,Yabby,Nature,C,S,エビラ
154,Notso macho,Beast,C,S,ダンビラムーチョ
155,Gryphon,Demon,C,S,サイレス
156,Missing lynx,Beast,C,S,ウイングタイガー
157,Green Dragon X,Dragon,B,S,強ドラゴン
158,Teeny Sanguini X,Beast,B,S,強モーモン
159,Skeleton X,Undead,B,S,強がいこつ
160,Magic slime,Slime,B,S,まどうスライム
161,Great argon lizard,Dragon,B,S,アルゴングレート
162,Abyss diver,Dragon,B,S,ヘルダイバー
163,Beetleboy,Nature,B,S,かぶとこぞう
164,Firebird,Beast,B,S,ひくいどり
165,Magmalice,Material,B,S,ようがんまじん
166,Lethal armour,Demon,B,S,キラーアーマー
167,Phantom swordsman,Undead,B,S,ソードファントム
168,Skeleton soldier,Undead,B,S,死霊の騎士
169,Dark slime,Slime,B,S,ダークスライム
170,Tyrantosaurus,Dragon,B,S,ドラゴンソルジャー
171,Giant moth,Nature,B,S,デスファレーナ
172,Cockateer,Beast,B,S,バードファイター
173,Jum,Material,B,S,ボル
174,Fallen priest,Demon,B,S,なぞの神官
175,Grim rider,Undead,B,S,ボーンナイト
176,Soulspawn,Undead,B,S,エビルスピリッツ
177,Rotten egg,Slime,B,S,ワンダーエッグ
178,Ethereal serpent,Dragon,B,S,スカイドラゴン
179,Gorerilla,Nature,B,S,コングヘッド
180,Pink sanguini,Beast,B,S,ピンクモーモン
181,Mimic,Material,B,S,ミミック
182,Archdemon,Demon,B,S,アークデーモン
183,Cross bones,Undead,B,S,ゆうれいせんちょう
184,Dark slime knight,Slime,B,S,ダークナイト
185,Megalodon,Dragon,B,S,シャークマジュ
186,Frou-frou,Dragon,B,S,リザードファッツ
187,Stark raven,Nature,B,S,おおがらす
188,Maniacal Mole,Beast,B,S,キラーピッケル
189,Boss troll,Demon,B,S,ボストロール
190,Jamirus,Demon,B,S,ジャミラス
191,Fright knight,Undead,B,S,ナイトリッチ
192,Seedy weedie,Slime,B,S,ルーファ
193,King cureslime,Slime,B,S,スライムベホマズン
194,Drakularge,Dragon,B,S,ギガントヒルズ
195,Bjorn,Beast,B,S,ブオーン
196,Heligator,Nature,A,S,ワニバーン
197,Gigantes,Beast,A,S,ギガンテス
198,Living statue,Material,A,S,うごくせきぞう
199,Demon-at-arms,Demon,A,S,まおうのつかい
200,Wailin' weed,Undead,A,S,フラワーゾンビ
201,King bubble slime,Slime,A,S,バブルキング
202,Great dragon,Dragon,A,S,グレイトドラゴン
203,Thornella,Nature,A,S,ローズダンス
204,Buffalogre,Beast,A,S,バッファロン
205,Killing machine,Material,A,S,キラーマシン
206,Dhuran,Demon,A,S,デュラン
207,Exorsus,Undead,A,S,デスソシスト
208,Balhib,Material,A,S,ゴールデンゴーレム
209,Conkettes,Demon,A,S,プチットガールズ
210,Night knight,Undead,A,S,ナイトキング
211,Metal kaiser slime,Slime,A,S,メタルカイザー
212,Dual duellers,Dragon,A,S,アサシンブロス
213,Riptide,Nature,A,S,オーシャンクロー
214,Mohawker,Beast,A,S,モヒカント
215,Boe,Material,A,S,ブル
216,Gracos,Demon,A,S,グラコス
217,Tortured soul,Undead,A,S,なげきの亡霊
218,Mortella,Demon,A,S,じごくのマドンナ
219,Ultra slime,Slime,A,S,スライダーヒーロー
220,Garuda,Nature,A,S,ガルーダ
221,Moosifer,Beast,A,S,アンクルホーン
222,Mum,Material,A,S,バル
223,Gemon,Demon,A,S,ゲモン
224,Roseguardin,Undead,A,S,ピサロナイト
225,Mechanowyrm,Dragon,A,S,メカバーン
226,Gripevine,Nature,A,S,ローズバトラー
227,Marquis de leon,Beast,A,S,キングレオ
228,Boh,Material,A,S,ベル
229,Belial,Demon,A,S,ベリアル
230,Bone baron,Undead,A,S,しにがみきぞく
231,Dorsal fiend,Beast,A,S,マリンデュエル
232,Pazuzu,Demon,A,S,バズズ
233,Dierantula,Undead,A,S,スカルスパイダー
234,Schleiman tank,Slime,A,S,勇車スラリンガル
235,Stormsgate Citadel,Material,A,S,ヘルクラウド
236,Empyrea,Nature,A,S,レティス
237,Metal king slime,Slime,S,S,メタルキング
238,Black dragon,Dragon,S,S,ブラックドラゴン
239,Beetlebully,Nature,S,S,ヘラクレイザー
240,Atlas,Beast,S,S,アトラス
241,Trap box,Material,S,S,トラップボックス
242,Robbin' Hood,Demon,S,S,カンダタ
243,Dullahan,Undead,S,S,デュラハーン
244,Shogum,Slime,S,S,スライムジェネラル
245,Drakulard,Dragon,S,S,ギガントドラゴン
246,King squid,Nature,S,S,大王イカ
247,Don Mole,Beast,S,S,ドン・モグーラ
248,Overkilling machine,Material,S,S,キラーマシン2
249,Night clubber,Beast,S,S,おにこんぼう
250,Wight king,Undead,S,S,ワイトキング
251,Nemeslime,Slime,S,S,死神スライダーク
252,Alabast dragon,Dragon,S,S,はくりゅうおう
253,Darkonium slime,Slime,S,S,スライムマデュラ
254,Dracolord,Dragon,S,S,竜王
255,Mumboh-jumboe,Material,S,S,バベルボブル
256,Murdaw,Demon,S,S,ムドー
257,Baramos,Demon,S,S,バラモス
258,Hargon,Demon,S,S,ハーゴン
259,Malroth,Demon,S,S,シドー
260,Captain Crow,Undead,S,S,キャプテン・クロウ
261,Grandpa slime,Slime,S,S,グランスライム
262,Canzar,Slime,S,S,スラキャンサー
263,Khalamari,Nature,S,S,オセアーノン
264,Dhoulmagus,Beast,S,S,ドルマゲス
265,Ruin,Material,S,S,暗黒の魔人
266,Slime XY,Slime,S,S,最強スライム
267,Green Dragon XY,Dragon,S,S,最強ドラゴン
268,Chimaera XY,Nature,S,S,最強キメラ
269,Teeny Sanguini XY,Beast,S,S,最強モーモン
270,Goodybag XY,Material,S,S,最強おどるほうせき
271,Conklave XY,Demon,S,S,最強プチット族
272,Skeleton XY,Undead,S,S,最強がいこつ
273,Dragonlord,Dragon,X,S,竜王
274,Leopold,Nature,X,S,レオパルド
275,Psaro,Material,X,S,デスピサロ
276,Prince o' Thieves,Demon,X,S,カンダタおやぶん
277,Nimzo,???,X,S,魔王ミルドラース
278,Gem slime,Slime,X,S,ゴールデンスライム
279,Orochi,Dragon,X,S,やまたのおろち
280,Numen,Nature,X,S,神さま
281,Fluffy,Beast,X,S,わたぼう
282,Trauminator,Material,X,S,スーパーキラーマシン
283,Dr Snapped,Undead,X,S,ガルマッゾ
284,Zoma,???,X,S,大魔王ゾーマ
285,Greygnarl,Dragon,X,S,グレイナル
286,Trode,Nature,X,S,トロデ
287,Sagittar,Material,X,S,サージタウス
288,Mortamor,???,X,S,大魔王デスタムーア
289,Barbarus,Dragon,X,S,バルボロス
290,Orgodemir,???,X,S,魔王オルゴ・デミーラ
291,Xenlon,Dragon,X,S,神竜
292,Nokturnus,Demon,X,S,ダークドレアム
293,Rhapthorne,???,X,S,魔王ラプソーン
294,Aquarion,Beast,X,S,海王神
295,Estark,Material,X,S,エスターク
296,Rhapthorne II,???,X,S,大魔王ラプソーン
297,Dragovian lord,Dragon,X,S,竜神王
298,Great godbird,Nature,X,S,神鳥レティス
299,Wulfspade,???,???,S,スペディオ
300,Hawkhart,???,???,S,ガルハート
301,Cluboon,???,???,S,グラブゾン
302,Diamagon,???,???,S,ディアノーグ
303,Wulfspade ace,???,???,S,キングスペーディオ
304,Hawkhart ace,???,???,S,クインガルハート
305,Cluboon ace,???,???,S,グラブゾンジャック
306,Diamagon ace,???,???,S,ディアノーグエース
307,Ace of Spades,???,???,S,デモンスペーディオ
308,Wildcard,???,???,S,JOKER
309,Zenith dragon,Dragon,???,S,マスタードラゴン
310,Leonyx,???,???,S,闘神レオソード
311,Rigor Mortex,???,???,S,オムド・ロレス
